clip_index,block_id,sentence_id,setting,words,weight,variants,still_cost,clip_cost,beat_cost,register,narration,phenomenon
17,1,S11,heavens,7,connective,2,0.16,0.42,0.58,unease,What he found there was not heaven.,"{heavens}. Close on the man's face turned up, lit hard and bright, eyes wide, the brightest thing in frame."
18,1,S12,heavens,3,hero,4,0.32,0.42,0.74,awe,It was machinery.,"{heavens}. Extreme wide: colossal cyclopean architecture of fitted cut stone spanning the entire sky -- ranked megalithic openings, ruled courses, immense blocks set without mortar, nothing moving, the man a speck until you find him. Blazing directional light, deep hard shadow, overwhelming mass."
19,1,S13,chapel,8,connective,2,0.16,0.42,0.58,curiosity,You know the famous part of his book.,"{chapel}. One page filling the frame, dense Ge'ez narrative script, no numerals. Hard bright daylight across the page."
20,1,S14,hermon,9,hero,4,0.32,0.42,0.74,awe,Two hundred of them came down onto a mountain —,"{hermon}. Armoured figures the size of towers descending through torn cloud onto the summit, so vast the mountain is dwarfed beneath them, their heavy wings pushing snow off the rock, ranks of them receding up into the cloud. One human silhouette at the very bottom edge, tiny. Blazing gold light behind them, cold blue day on the stone."
21,1,S15,hermon,8,connective,2,0.16,0.42,0.58,awe,"they swore an oath, and the world broke.","{hermon}. A blade drawn white-hot from a fire pit, one small human face lit hard by it, the colossal figure above him out of focus. Blazing forge light."
22,1,S16,chapel,9,connective,2,0.16,0.42,0.58,curiosity,That story is only the first third of it.,"{chapel}. A hand parting the block of pages -- the first third small against the remaining two thirds. Hard bright daylight, page edges blazing."
23,1,S17,chapel,5,connective,2,0.16,0.42,0.58,unease,"Past it, the voice changes.","{chapel}. The pages stop on a spread where the script visibly changes character -- ruled, columnar, numerical. Hard bright daylight, crisp."
24,1,S18,chapel,3,hero,4,0.32,0.42,0.74,unease,The story stops.,"{chapel}. Wide from outside the doorway: the small chapel mouth in a vast highland cliff face, the codex a bright speck within. Blazing daylight on the rock face."
25,1,S19,chapel,5,hero,4,0.32,0.42,0.74,unease,And the text starts counting.,"{chapel}. Extreme close: a column of Ge'ez numerals and measures, ruled lines between them. One hard blade of white daylight directly on it."
26,1,S20,chapel,4,connective,2,0.16,0.42,0.58,curiosity,Chapters seventy-two to eighty-two.,"{chapel}. A hand marking two points in the page block, a thin section between them. Hard bright daylight from the high opening."
27,1,S21,chapel,4,connective,2,0.16,0.42,0.58,curiosity,Almost nobody reads them.,{chapel}. The thin section held between two fingers against the fat rest of the book. Bright raking daylight.
28,1,S22,chapel,6,connective,2,0.16,0.42,0.58,unease,Because they are not a story.,"{chapel}. The ruled columns again, close, no narrative script anywhere in frame. Hard bright daylight, sharp."
29,1,S23,chapel,4,hero,4,0.32,0.42,0.74,unease,They are a specification.,"{chapel}. Extreme close on one numeral, the page filling the frame, ruled line beneath it. One brilliant shaft directly on it."
30,1,S24,ridge,6,connective,2,0.16,0.42,0.58,wonder,Go outside tonight and look up.,"{ridge}. A low stone wall and dry scrub seen from ground level, empty, the sky bright above the ridgeline. Cool blue night air, warm light low on the horizon."
31,1,S25,ridge,5,hero,4,0.32,0.42,0.74,wonder,That is the same moon.,"{ridge}. The full moon enormous and low, cresting the ridge -- utterly ordinary, real maria and craters, far too big for the sky. Brilliant warm gold moonlight, the moon the brightest thing in frame."
32,1,S26,ridge,4,connective,2,0.16,0.42,0.58,wonder,Same face — same marks —,"{ridge}. Extreme telephoto on the moon's face, real craters and maria along the terminator, astrophotography detail. Brilliant warm gold light, crisp."
33,1,S26,ridge,4,connective,2,0.16,0.42,0.58,reflection,the same slow turning.,"{ridge}. The moon high and smaller now above the bare ridge, the wall and scrub lit hard by it. Bright warm moonlight raking the stone."
34,1,S27,ridge,5,connective,2,0.16,0.42,0.58,reflection,The one the Romans watched.,"{ridge}. Same ridgeline, same moon, a single small human silhouette standing at the bottom edge of the frame. Bright moonlight from behind, rim-lighting the figure."
35,1,S28,ridge,6,connective,2,0.16,0.42,0.58,reflection,The one that was already old,"{ridge}. Wide: the ridge, the enormous moon, the figure tiny beneath it, the land running away to the horizon. Brilliant moonlight, the rock clearly lit."
36,1,S28,ridge,6,hero,4,0.32,0.42,0.74,reflection,when the first city was built.,"{ridge}. The moon dominating the sky above the empty ridge, the figure gone. Brilliant warm moonlight, every rock legible."
37,1,S29,chapel,6,connective,2,0.16,0.42,0.58,unease,"And somebody, three thousand years ago,","{chapel}. The open codex, the ruled column of numerals lit hard. One brilliant blade of daylight directly on the page."
38,1,S29,chapel,5,hero,4,0.32,0.42,0.74,unease,wrote down how it works.,"{chapel}. Extreme close on the numerals, the page filling the frame. Brilliant hard daylight, letters razor-sharp."
39,1,S30,heavens,4,connective,2,0.16,0.42,0.58,unease,They were either wrong —,"{heavens}. The moon again as built architecture -- colossal, its surface cut into ranked stone gateways, hanging in blazing open sky. Hard clean light."
40,1,S31,heavens,4,hero,4,0.32,0.42,0.74,unease,or they were told.,"{heavens}. Close on the enormous figure at the gate, face turned toward camera, physically real, lit brilliantly. The brightest thing in frame."
