block_id,clip_index,sentence_id,weight,register,narration,phenomenon,setting,words,variants,move,air,motion
1,11,s04,connective,menace,"The ground drank that blood, and the old accounts say the ground was never the same again.","{youngearth} extreme close on cracked dark earth, a bright shaft of daylight falling across the split ground, dust suspended in the beam",youngearth,17,2,settle,kling,"near-locked, slow settle, dust and haze drifting, subject locked, no other movement"
1,12,s04,connective,tension,"Every generation since has learned to build, and learned along with it to break.","{village} medium low angle, a bronze tool and a broken haft lying together on a workbench, hard window light, shavings bright against the dark wood",village,14,2,settle,kb,
1,13,s05,hero,tension,"That same night, inside a hut below the mountain, a woman's cry tears open the silence.","{hut} interior wide, a low room lit by one blazing oil lamp, two women's hands clasped tight on a woven mat, shadows thrown huge across the wall",hut,16,4,push,kling,"slow push-in, flame and embers rising, subject locked, no other movement"
1,14,s05,connective,tension,"The man on the high stone hears it and starts down through the dark, stumbling.","{highstone} wide, a man half-running down a moonlit slope with a torch streaming behind him, cold blue rock, warm flame light on his face",highstone,15,2,push,kling,"slow push-in, flame and embers rising, subject locked, no other movement"
1,15,s05,connective,hush,"By the time he reaches the doorway, his son has already been born.","{hut} medium from outside the doorway, warm lamplight spilling out into blue pre-dawn air, a figure stopped in the frame of the door",hut,13,2,push,kb,
1,16,s06,connective,wonder,"The child is small, smaller than any of them expected him to be.","{hut} close, a newborn wrapped in rough cloth held against a woman's chest, warm lamp glow on the small face, dark room beyond",hut,13,2,settle,kb,
1,17,s06,hero,wonder,"But he opens his eyes, and they are dark and deep and far too steady.","{hut} extreme close, an infant's open eyes catching the lamp flame, wet dark irises, everything else falling into soft shadow",hut,15,4,settle,kling,"near-locked, slow settle, flame and embers rising, subject locked, no other movement"
1,18,s06,connective,tension,His mother presses the boy against her chest and asks her husband what he will be called.,"{hut} medium two-shot, the mother looking up toward her husband, both faces lit from below by the lamp, the doorway bright behind them",hut,17,2,push,kb,
1,19,s07,connective,hush,"Enoch does not answer her, and the room goes quiet around him.","{hut} close, a clay lamp guttering as a draught crosses it, warm light shivering on the mud wall, a spindle left hanging mid-thread below",hut,12,2,push,kb,
1,20,s07,connective,hush,He stands in the doorway like a man listening to something on the other side of a wall.,"{hut} low angle from floor level, the man's silhouette filling the door frame with brilliant dawn sky beyond, the room dark around the edges",hut,18,2,settle,kb,
1,21,s07,connective,wonder,"Then he carries the child out of the hut, into the first grey light of the morning.","{village} wide, a man carrying a bundled infant out into an open yard, first grey daylight, the houses still dark, the sky lightening fast",village,17,2,settle,kb,
1,22,s08,hero,awe,He lifts his son toward a sky that is turning red behind a thin mist.,"{youngearth} low angle hero shot, a man lifting a newborn high above his head toward a red and gold dawn sky, thin mist glowing, his face fully lit from beneath",youngearth,15,4,crane,kling,"slow crane up, dust and haze drifting, subject locked, no other movement"
1,23,s08,connective,awe,"And he speaks a name the way a judge reads out a sentence, slowly, so it lands.","{village} close on a man's face in profile, mouth open mid-word, brilliant dawn light across one cheek, the deep shadow of the houses behind",village,17,2,settle,kling,"near-locked, slow settle, water and suspended particles drifting, subject locked, no other movement"
1,24,s09,hero,awe,Methuselah.,"{highstone} vast wide hero shot, an immense bright dawn breaking over the whole mountain range, one single small figure holding a child on the summit, gold light flooding the ridges",highstone,1,4,pull,kling,"slow pull-back, subtle ambient drift only, subject locked, no other movement"
1,25,s10,connective,menace,The old traditions read that name as a warning pronounced over the whole world.,"{youngearth} wide, a bright open sky with a single high band of cloud burning gold, a long skein of birds crossing beneath it, the land still blue below",youngearth,14,2,settle,kling,"near-locked, slow settle, flame and embers rising, subject locked, no other movement"
1,26,s10,connective,menace,"When this one is taken, they say, the waters will be sent over all the earth.","{youngearth} extreme wide low angle, an immense wall of bright rain-cloud standing far off on a clear horizon, sunlit at its crown, the plain lit pale beneath",youngearth,16,2,push,kling,"slow push-in, water and suspended particles drifting, subject locked, no other movement"
1,27,s10,connective,hush,Nobody standing in that hut understands what has just been said aloud over a newborn.,"{hut} medium, a midwife wringing a cloth out into a shallow clay bowl in warm lamplight, water bright on her wrists, other hands busy in the dark behind",hut,15,2,settle,kling,"near-locked, slow settle, water and suspended particles drifting, subject locked, no other movement"
1,28,s11,connective,grief,The mother hears only a name. The father hears a date he cannot write down.,"{hut} close two-shot, a woman's face soft with relief on the left, a man's face fully lit and still on the right, one lamp between them",hut,15,2,settle,kb,
1,29,s11,connective,wonder,"Outside, the village wakes the way it always wakes, with baskets and smoke and argument.","{village} wide bright morning, women carrying baskets, a man arguing with another beside a fire, everything ordinary, clear high sunlight over the whole scene",village,15,2,pull,kling,"slow pull-back, flame and embers rising, subject locked, no other movement"
1,30,s11,hero,awe,"Not one of them knows that something has begun to count, out loud, on a mountain.","{highstone} hero wide from behind, a single pale stone sitting alone on a broad summit, brilliant morning light across bare rock, the world spread out beyond it",highstone,16,4,settle,kb,
1,31,s12,connective,hush,The boy grows up beneath a fire his father feeds every single night without fail.,"{highstone} medium night, a small fire burning steadily on the high stone, warm light pooling on the rock, a man's hands feeding it wood",highstone,15,2,push,kling,"slow push-in, flame and embers rising, subject locked, no other movement"
1,32,s12,connective,wonder,He learns to carry wood up the mountain before he learns to carry anything else.,"{highstone} wide low angle, a boy climbing a steep path with wood strapped to his back, hard clean afternoon light, the summit far above him",highstone,15,2,crane,kling,"slow crane up, subtle ambient drift only, subject locked, no other movement"
1,33,s12,hero,awe,"And on the morning after each of his birthdays, Enoch hands him one flat stone.","{highstone} hero close, a man's hands placing one flat stone into a child's small open palms, brilliant low sun across both, dark rock beneath",highstone,15,4,settle,kb,
1,34,s13,connective,hush,"Lay it beside the others, his father tells him, and do not lose count.","{highstone} medium two-shot, a father crouched to a boy's height beside a short line of pale stones, warm morning light on both faces, the valley bright behind",highstone,14,2,push,kb,
1,35,s13,connective,tension,"The boy asks what the stones are counting toward, and gets no answer at all.","{highstone} close on a boy's upturned face, eyes searching, bright sky light across him, his father's shoulder dark in the foreground",highstone,15,2,settle,kb,
1,36,s14,hero,awe,"By his tenth year there are ten of them, laid out in a short pale line.","{highstone} hero high angle, ten pale flat stones laid in a neat short line on bare summit rock, hard bright sunlight, sharp black shadows beside each one",highstone,16,4,push,kb,
1,37,s14,connective,awe,"Ten stones on a mountain, in a world where nobody else is counting anything.","{youngearth} extreme wide, ten small stones on a bright summit ridge with an immense sunlit landscape opening beyond, a hawk turning on the air above them",youngearth,14,2,push,kb,
1,38,s14,connective,hush,"His father tells him only this, that time is given to a man, never taken.","{highstone} close, an old hand closing a boy's fingers around a flat stone, brilliant clear light across both, the fire glowing low behind",highstone,15,2,push,kb,
1,39,s15,connective,hush,"One day this fire will be yours, Enoch says, and this count will be yours.","{highstone} close on a low fire at dusk, bright embers pulsing, two figures dark and warm-rimmed behind it, deep blue sky above",highstone,15,2,settle,kling,"near-locked, slow settle, water and suspended particles drifting, subject locked, no other movement"
1,40,s15,hero,wonder,"And the boy carries a number up the mountain that nobody has explained to him yet. <break time=""5.5s"" />","{highstone} hero wide from behind, a small boy alone beside the line of stones and the fire, brilliant last light burning along the whole ridge, the dark valley far below",highstone,16,4,settle,kling,"near-locked, slow settle, flame and embers rising, subject locked, no other movement"
2,1,s01,connective,tension,There was one man alive in those days who did not need the stories told to him.,"{youngearth} extreme wide, an empty sunlit plain reaching to a clear far horizon, one thin footpath, a lone tree bent hard by the prevailing wind",youngearth,17,2,settle,kb,
2,2,s01,connective,wonder,"One morning Enoch takes his son east, past the last of the planted fields.","{village} medium low angle, a man and a boy walking out past the last planted row at dawn, long shadows behind them, warm light on their backs",village,14,2,pull,kb,
2,3,s01,connective,wonder,They walk for days through country the village has no names for.,"{youngearth} wide, two small figures crossing a broad river shallows under hard midday sun, bright water breaking white around their legs, far bank green",youngearth,12,2,push,kling,"slow push-in, water and suspended particles drifting, subject locked, no other movement"
2,4,s02,connective,tension,"The boy asks where they are going, twice. His father keeps walking.","{youngearth} close from behind at knee height, a boy's feet on stony ground, harsh clean daylight, a man's stride ahead of him in the dust",youngearth,12,2,push,kling,"slow push-in, dust and haze drifting, subject locked, no other movement"
2,5,s02,hero,awe,On the fourth morning the land opens out and there is a dwelling on it.,"{youngearth} vast wide, a green valley opening below a ridge at first light, one low stone dwelling tiny in the middle distance, gold light flooding across it",youngearth,15,4,pull,kling,"slow pull-back, subtle ambient drift only, subject locked, no other movement"
2,6,s02,connective,wonder,Nobody built it recently. It has stood longer than anything the boy has seen.,"{firsthome} medium wide, a low ancient dwelling of fitted grey stone with a heavy timber lintel, bright morning sun on the weathered face of it, deep shade inside",firsthome,14,2,push,kb,
2,7,s03,connective,hush,"An old man sits outside it in the sun, entirely still.","{firsthome} wide, {firstman} sitting motionless on a broad flat stone outside the doorway, brilliant clear sunlight full on him, the dwelling dark behind",firsthome,11,2,settle,kb,
2,8,s03,connective,wonder,His skin is like the bark of a tree that outlived the forest around it.,"{firsthome} extreme close, the back of an ancient hand resting on stone, skin ridged and split like old bark, hard raking sunlight across every furrow",firsthome,15,2,push,kb,
2,9,s03,hero,awe,"His eyes are two flat lakes, and every year he has lived sits in his face.","{firsthome} extreme close, {firstman} face filling the frame, eyes wide open and pale and steady, bright sky light across him, the doorway black beyond",firsthome,16,4,push,kling,"slow push-in, subtle ambient drift only, subject locked, no other movement"
2,10,s04,connective,awe,"This is Adam, the boy is told. The first man of us all.","{firsthome} medium two-shot low angle, a boy half-hidden behind his father's leg peering out at the seated ancient figure, bright open sky above all three",firsthome,13,2,push,kling,"slow push-in, subtle ambient drift only, subject locked, no other movement"
2,11,s04,connective,hush,The first man does not ask who they are. He moves over on the stone.,"{firsthome} close, an ancient hand patting the sunlit stone beside him in invitation, warm light, the boy's shadow falling across the rock",firsthome,15,2,settle,kling,"near-locked, slow settle, subtle ambient drift only, subject locked, no other movement"
2,12,s04,connective,hush,"Methuselah sits at his feet, and the oldest voice on earth begins.","{firsthome} close, a boy's bare feet drawn up on warm sunlit stone beside an ancient pair, dry grass and a beetle crossing the rock between them",firsthome,12,2,push,kb,
2,13,s05,hero,wonder,"I walked in a place where nothing died, Adam says. That is the part you will not believe.","{eden} hero wide, a warm green garden world where the air itself carries a soft golden brightness, every leaf and stem glowing as if lit from within",eden,18,4,push,kling,"slow push-in, subtle ambient drift only, subject locked, no other movement"
2,14,s05,connective,wonder,The ground under it was soft. The animals came close and were not afraid.,"{eden} medium, a great cat and a deer standing close together on soft glowing ground, unhurried, warm light pouring evenly through the canopy above",eden,14,2,push,kling,"slow push-in, subtle ambient drift only, subject locked, no other movement"
2,15,s05,connective,awe,"And in the evening, when the wind came up, he walked in it with us.","{eden} wide from behind at ankle height, tall grass bending in an evening wind, radiant gold air moving through the whole garden, long soft shapes of trees",eden,15,2,pull,kling,"slow pull-back, subtle ambient drift only, subject locked, no other movement"
2,16,s06,connective,hush,The boy does not move. He does not breathe properly for a long time.,"{firsthome} extreme close, a boy's face utterly still and rapt, bright daylight across him, the ancient figure blurred and warm behind his shoulder",firsthome,14,2,settle,kb,
2,17,s06,hero,awe,"Adam tells him what the light was like there, and there is no word for it.","{eden} hero wide, an immense luminous landscape where the ground and the sky share one golden light, rich colour in every surface, radiant fullness everywhere",eden,16,4,push,kling,"slow push-in, subtle ambient drift only, subject locked, no other movement"
2,18,s06,connective,awe,"It was not the sun, he says. The sun is a lamp somebody hung up afterward.","{eden} low angle, a bright unbroken canopy overhead pouring even white-gold light down through leaves, warm glowing air, one continuous soft radiance",eden,16,2,pull,kb,
2,19,s07,connective,wonder,"Everything there was lit from inside, and nothing anywhere cast a shadow.","{eden} close, a hand held open in glowing light with the fingers casting an even radiance, the skin bright, the ground beneath it luminous",eden,12,2,push,kb,
2,20,s07,connective,hush,"Then he stops, and for a while there is only wind in the grass.","{firsthome} wide, dry grass bending in one long wave across a sunlit slope, two small seated figures at the frame edge, bright hills beyond",firsthome,14,2,push,kling,"slow push-in, water and suspended particles drifting, subject locked, no other movement"
2,21,s08,connective,grief,"We lost it, Adam says, for one bite and one lie and one afternoon.","{firsthome} close, {firstman} in profile mid-sentence, deeply lined face fully lit from the side, the dark doorway a hard vertical behind him",firsthome,14,2,settle,kb,
2,22,s08,hero,awe,The way back closed behind us and it has never once opened since.,"{eden} hero wide low angle, a colossal shut gateway of living stone glowing at its seams, brilliant light burning behind it, the ground before it swept bare and pale",eden,13,4,push,kling,"slow push-in, flame and embers rising, subject locked, no other movement"
2,23,s09,connective,wonder,The boy asks the only question a child would ask. Can you go and look?,"{firsthome} close, a boy looking up with his mouth open on a question, bright sky light on his face, a weathered shoulder dark in the foreground",firsthome,15,2,settle,kb,
2,24,s09,connective,grief,"The old man laughs, and it is the saddest sound the boy will ever hear.","{firsthome} medium, {firstman} head tipped back laughing, sunlight full on his throat and beard, deep creases lit sharp, bright open sky behind",firsthome,15,2,settle,kling,"near-locked, slow settle, water and suspended particles drifting, subject locked, no other movement"
2,25,s10,hero,awe,"I have looked, he says. Something stands there that turns every way at once.","{eden} hero wide, a blazing sword of white fire turning end over end in the air before a shut gate, hard light thrown out across bare bright rock",eden,14,4,push,kling,"slow push-in, flame and embers rising, subject locked, no other movement"
2,26,s10,connective,grief,"I carry that garden in here, and I carry the door that shut behind me.","{firsthome} extreme close, {firstman} placing one flat hand against his own chest, bright daylight raking across the knuckles, the rest falling to shadow",firsthome,15,2,settle,kling,"near-locked, slow settle, subtle ambient drift only, subject locked, no other movement"
2,27,s11,hero,tension,"But listen, Adam says, because this is the part I need somebody to keep.","{firsthome} medium two-shot, an ancient man leaning in toward a boy, both faces lit hard by low sun, the whole background dropped dark",firsthome,14,4,settle,kb,
2,28,s11,connective,wonder,"It was said that from a woman, one day, one of us will come.","{youngearth} wide, a woman carrying a heavy water jar on her shoulder along a bright ridge path at dawn, the sun rising behind her, her figure rimmed in gold",youngearth,14,2,crane,kling,"slow crane up, water and suspended particles drifting, subject locked, no other movement"
2,29,s11,hero,awe,And he will crush the head of the serpent that talked us out of everything.,"{youngearth} hero low angle, an enormous serpent coiled across pale rock with a human heel raised above its skull, brilliant hard light, dust bright in the air",youngearth,15,4,push,kling,"slow push-in, dust and haze drifting, subject locked, no other movement"
2,30,s12,connective,grief,"I will not see him, the first man says. You will very likely not either.","{firsthome} close, {firstman} eyes looking directly out past the camera at something far off, bright clear light across his face, everything else dark",firsthome,15,2,settle,kb,
2,31,s12,connective,tension,But heaven does not forget what it promises. Somebody has to carry that.,"{firsthome} medium, an ancient hand gripping a boy's forearm firmly, sunlight full on both, the stone bright beneath them",firsthome,13,2,push,kb,
2,32,s12,connective,hush,Memory is the one thing death has never managed to take.,"{firsthome} extreme close, a boy's eyes taking something in and holding it, hard bright daylight across the iris, soft dark surround",firsthome,11,2,settle,kb,
2,33,s13,connective,awe,"Adam lived nine hundred and thirty years, and for two hundred and forty-three of them","{youngearth} vast wide, an immense sunlit land under a clear sky with an orchard in blossom on one slope and bare cut stubble on the next, one thin track between",youngearth,15,2,pull,kb,
2,34,s13,connective,awe,the oldest man on earth and the boy on the mountain breathed the same air.,"{highstone} extreme wide, a bare bright summit with a short line of pale stones and one distant dwelling far off on the plain below, hard clean daylight linking them",highstone,15,2,push,kb,
2,35,s14,connective,grief,Then the first man went back into the dust he was lifted out of.,"{firsthome} wide high angle, a fresh mound of turned dark earth beside the ancient stone dwelling, brilliant midday light, the flat rock empty now",firsthome,14,2,settle,kb,
2,36,s14,connective,grief,And with him went the last person alive who had seen the garden.,"{firsthome} close, the empty sunlit stone where an old man used to sit, hard light across the bare surface, a shallow worn hollow in it",firsthome,13,2,settle,kb,
2,37,s14,connective,tension,The village barely noticed. The hammers went on. The arguments went on.,"{village} wide bright day, men swinging hammers and arguing over a boundary line, ordinary work, high clean sunlight over all of it",village,12,2,push,kling,"slow push-in, subtle ambient drift only, subject locked, no other movement"
2,38,s15,hero,grief,"But Methuselah stood at that grave a very long time, and something settled in him.","{firsthome} hero wide from behind, a boy standing alone at a mound of turned earth in an empty bright landscape, low sun throwing his shadow long",firsthome,15,4,settle,kb,
2,39,s15,connective,tension,Somebody had to remember. Somebody had to be the one who did not put it down.,"{firsthome} close, a boy's face set hard with resolve, brilliant low light across him, the turned earth dark below the frame edge",firsthome,16,2,settle,kb,
2,40,s15,hero,menace,"Then he looked up, and there was smoke on the horizon that was not cooking smoke. <break time=""5.6s"" />","{youngearth} hero extreme wide, a boy small on a bright ridge looking toward a far horizon where several dark columns of smoke rise into a clear sky",youngearth,16,4,settle,kling,"near-locked, slow settle, dust and haze drifting, subject locked, no other movement"
3,1,s01,connective,tension,"It took him eleven days to walk toward the smoke, and he went alone.","{youngearth} extreme wide, a lone small figure walking a bright open plain under a hard clear sky, several black smoke columns far off on the horizon",youngearth,14,2,crane,kling,"slow crane up, dust and haze drifting, subject locked, no other movement"
3,2,s01,connective,tension,"He had never gone that far from the mountain, and he told nobody he was going.","{highstone} close from behind at dawn, a young man's hand resting once on a line of pale stones before he turns away, low gold light across the summit",highstone,16,2,push,kb,
3,3,s02,hero,wonder,The country changed. Trees thinned. Tracks became roads.,"{youngearth} wide low angle, a broad rutted dirt road cut through thinning scrub under harsh midday sun, deep wheel grooves bright with dust",youngearth,8,4,push,kling,"slow push-in, water and suspended particles drifting, subject locked, no other movement"
3,4,s02,connective,wonder,Roads. Nobody in his valley had ever needed a road.,"{youngearth} extreme close, a bare foot standing in a deep wheel rut, hard raking sunlight across the dried ridges of earth",youngearth,10,2,push,kling,"slow push-in, water and suspended particles drifting, subject locked, no other movement"
3,5,s03,connective,menace,"On the ninth day he began passing people, and none of them looked at him.","{youngearth} medium, strangers passing on a bright dusty road with their faces turned away, high clean sunlight, dust hanging gold in the air",youngearth,15,2,push,kb,
3,6,s03,connective,tension,"On the eleventh day he came over a rise, and there it was.","{youngearth} wide from behind, a single figure cresting a bare ridge with brilliant sky opening ahead of him, his shoulders rimmed in light",youngearth,13,2,push,kb,
3,7,s04,hero,awe,"A city. Cut stone walls, towers standing up out of the plain, going on and on.","{city} hero vast wide, an immense walled city of cut stone with towers and ramparts spreading across a sunlit plain, hard bright daylight, black smoke columns rising",city,16,4,crane,kling,"slow crane up, dust and haze drifting, subject locked, no other movement"
3,8,s04,connective,wonder,He had grown up in a place with eleven houses in it.,"{village} extreme wide, eleven small mud houses in a green valley under clear morning light, tiny and plain, one thread of pale smoke",village,12,2,push,kb,
3,9,s04,connective,awe,This held more people than he had believed were alive.,"{city} high angle, dense sunlit streets packed with hundreds of people moving between stone walls, bright light on the rooftops, deep shade in the lanes",city,10,2,push,kling,"slow push-in, water and suspended particles drifting, subject locked, no other movement"
3,10,s05,connective,tension,And it was loud. Even from the ridge he could hear it working.,"{city} medium wide, a massive stone gate with crowds pouring through it, brilliant afternoon sun on the lintel, the passage dark beyond",city,13,2,settle,kb,
3,11,s05,hero,menace,"A low continuous hammering, hundreds of strikes overlapping, never stopping.","{forge} hero close, a heavy hammer caught mid-strike on a glowing bar, brilliant sparks bursting out into hard light, the anvil bright beneath",forge,10,4,push,kling,"slow push-in, dust and haze drifting, subject locked, no other movement"
3,12,s05,connective,menace,"Smoke came off it in columns, and the columns were black, not grey.","{city} low angle, thick black smoke columns rising off rooftops into a clear bright blue sky, sunlight cutting sharp through the plumes",city,13,2,crane,kling,"slow crane up, dust and haze drifting, subject locked, no other movement"
3,13,s06,connective,hush,"He stood on that ridge until dark, and the city did not go dark.","{youngearth} wide, a small campfire on a dark ridge with a burning city spread across the plain far below, deep blue sky, orange light pooling",youngearth,14,2,settle,kling,"near-locked, slow settle, water and suspended particles drifting, subject locked, no other movement"
3,14,s06,connective,awe,"It burned. Points of orange light all over it, hammering on into the night.","{city} vast wide night, an entire city glowing with hundreds of orange furnace points under a deep indigo sky, brilliant firelight on the stone",city,14,2,pull,kling,"slow pull-back, water and suspended particles drifting, subject locked, no other movement"
3,15,s07,connective,tension,He asked a man on the road what the place was called.,"{youngearth} medium two-shot, two travellers stopped on a bright road at morning, hard sunlight on both faces, the city wall pale behind them",youngearth,12,2,push,kb,
3,16,s07,hero,menace,"It is called Enoch, the man said. And Methuselah did not answer for a while.","{city} hero close low angle, deep letters cut into a colossal sunlit gate stone, hard shadow inside every carved stroke, brilliant light across the face",city,15,4,settle,kb,
3,17,s08,connective,hush,Because his father was called Enoch. He had walked down from Enoch's fire to get here.,"{highstone} close, a small fire burning alone on a bare summit at night, warm light pooling on rock, the wide dark valley beyond",highstone,16,2,settle,kb,
3,18,s08,connective,tension,"Genesis says the first city was built by Cain, who named it for his son.","{city} wide, a colossal stone wall rising straight out of bare ground with brilliant morning sun raking along its full length",city,15,2,crane,kb,
3,19,s09,connective,menace,One Enoch feeding a fire. Another cut into stone.,"{city} extreme wide split composition, a lit fire on a distant dark ridge on one side and a blazing city on the plain on the other, bright horizon between them",city,9,2,settle,kb,
3,20,s09,connective,menace,Same name. Two worlds. And only one of them was growing.,"{city} high angle, sunlit new construction spreading outward across open ground, scaffolds and cut blocks, bright dust in the air",city,11,2,push,kling,"slow push-in, dust and haze drifting, subject locked, no other movement"
3,21,s10,connective,tension,"He went in, because he had walked eleven days and there was nothing else to do.","{city} medium from behind, one figure walking in through a crowded sunlit gate, brilliant light ahead of him, the crowd dark around his shoulders",city,16,2,settle,kb,
3,22,s10,hero,awe,"The heat hit first. Open sheds, furnaces roaring, men stripped to the waist.","{forge} hero wide, a long open shed with three roaring furnaces, brilliant white-orange light blasting from the mouths, men working stripped to the waist in the glare",forge,13,4,push,kb,
3,23,s11,connective,wonder,Broken rock going in one end. Something else entirely coming out the other.,"{forge} close, broken ore tipped from a basket into a furnace mouth, blinding light from inside, hard shadows thrown back across the floor",forge,13,2,push,kb,
3,24,s11,connective,awe,He watched a man pour liquid metal into a bed of sand.,"{forge} hero medium, a stream of white-hot liquid metal pouring into a sand mould, brilliant light flooding the whole frame, sparks arcing",forge,12,2,pull,kling,"slow pull-back, water and suspended particles drifting, subject locked, no other movement"
3,25,s11,connective,wonder,It set. They knocked the sand away. It came out gleaming and it held an edge.,"{forge} extreme close, a bright new bronze edge lifted clear of black sand, hard light running along the polished line of it",forge,16,2,push,kb,
3,26,s12,hero,menace,The old record names the man who taught them this. Tubal-Cain.,"{forge} medium low angle, a powerfully built master smith turning a glowing bar on the anvil with long tongs, brilliant firelight full on him, sparks crossing his forearms",forge,11,4,push,kling,"slow push-in, flame and embers rising, subject locked, no other movement"
3,27,s12,connective,tension,"An instructor, Genesis says. Bronze and iron.","{forge} wide, a master smith showing a technique to a half-circle of watching men, strong firelight on every face, the roof beams glowing above",forge,7,2,push,kling,"slow push-in, flame and embers rising, subject locked, no other movement"
3,28,s12,connective,menace,Not a smith. An instructor. Somebody with something to pass on.,"{forge} close two-shot, an older man guiding a younger man's hands on the hammer, warm bright forge light across both, the anvil gleaming",forge,11,2,push,kb,
3,29,s13,connective,tension,Methuselah watched a boy no older than nine grinding a bronze edge on a wheel.,"{forge} medium, a boy of nine holding a bronze edge to a spinning grindstone, brilliant sparks streaming, his face fully lit by them",forge,15,2,push,kling,"slow push-in, dust and haze drifting, subject locked, no other movement"
3,30,s13,hero,menace,"And standing there, he understood exactly what he was looking at.","{city} hero close, a young man's face lit hard by furnace light, eyes wide with understanding, the blazing shed bright behind him",city,11,4,push,kling,"slow push-in, flame and embers rising, subject locked, no other movement"
3,31,s14,connective,hush,"In his valley a tool broke ground, and it was made of stone.","{village} close, a stone hoe blade lying in dark turned earth, clean bright daylight across it, green growth at the frame edge",village,13,2,settle,kb,
3,32,s14,connective,menace,Here they had made a thing whose only purpose was the other kind of breaking.,"{forge} extreme close, a finished bronze blade lying flat on a workbench, hard raking light picking out the ground edge along its length",forge,15,2,push,kb,
3,33,s15,hero,menace,"A man took one off a rack, turned it over, tested the edge on his thumb.","{forge} hero medium, a man lifting a bronze blade off a wall rack and turning it in the light, brilliant reflection sliding along the metal",forge,16,4,crane,kling,"slow crane up, subtle ambient drift only, subject locked, no other movement"
3,34,s15,connective,tension,He was no soldier. Nobody was a soldier yet. He was a man who owned one.,"{forge} close, a thumb drawn carefully along a bright edge, hard light on the skin and the metal, the shed glowing behind",forge,16,2,push,kb,
3,35,s15,connective,menace,"And every other man in that shed owned one, and all of them knew it.","{forge} wide, a full rack of finished bronze blades along a shed wall, every one catching the firelight, men working in the bright space beyond",forge,15,2,push,kling,"slow push-in, flame and embers rising, subject locked, no other movement"
3,36,s16,connective,tension,Methuselah walked out and did not stop until the hammering faded behind him.,"{youngearth} wide from behind, a single figure walking away down a bright empty road with the smoking city small behind him, low gold light",youngearth,13,2,settle,kb,
3,37,s16,hero,hush,"On the road back he kept turning one thing over, and it would not settle.","{youngearth} hero extreme wide, a lone traveller crossing a vast sunlit plain at evening, immense sky, the horizon burning orange behind",youngearth,15,4,pull,kb,
3,38,s17,connective,tension,Nobody works out how to pull iron out of a rock alone.,"{youngearth} extreme close, a hand turning a lump of raw dark ore over in the light, bright daylight across the broken crystalline face",youngearth,12,2,settle,kb,
3,39,s17,connective,menace,Somebody sat down with them. Somebody showed them. Somebody wanted them to have it.,"{youngearth} medium, a fresh cart rut and a single bare footprint side by side in bright road dust, hard clean light, the road running away empty",youngearth,14,2,settle,kb,
