block_id,clip_index,weight,register,narration,phenomenon,subject,scale,topic_class,air,move,motion,fx
1,22,connective,teaching,"But the first man's request was different in kind, not just in tone.","{golgotha_cross} wide, both crosses framed against a darkening sky stretching the full width of the frame, one man's head bowed low, the other turned toward the center",two thieves ask differently,3,universal,kb,,,
1,23,connective,teaching,He did not ask Jesus to prove anything. He asked only to be remembered.,"{golgotha_cross} close, a hand loosening slightly against rough bound wood, gold light catching cracked skin",two thieves ask differently,2,universal,kb,,,
1,24,hero,awe,"That is the whole of his theology in one sentence -- and it turns out to be enough. <break time=""900ms"" />","{golgotha_cross} close on the first thief's face lit gold as cloud breaks overhead, astonishment replacing fear",two thieves ask differently,3,universal,kling,,"slow subtle push toward the face as light breaks through cloud, natural realistic movement, minimal drift",
1,25,connective,teaching,"The word Jesus uses for today is immediate -- not eventually, not after some purifying wait. <break time=""400ms"" />","{golgotha_cross} extreme close on lips forming a single certain word, warm light breaking across the mouth and jaw",paradise promised without delay,1,universal,kb,,,
1,26,connective,wonder,"Paradise, in that culture's language, meant a garden restored -- the word Eden itself.","{golgotha_cross} wide, a shaft of gold light falling across bare dry rock as if onto ground that could still grow something",paradise promised without delay,2,universal,kb,,,
1,27,connective,teaching,"Not a vague afterlife. A specific, remembered kind of place.","{golgotha_cross} close, gold light pooling in the cracks of dry rock at the base of a cross",paradise promised without delay,1,universal,kb,,,
1,28,connective,awe,And the man being promised it has done nothing to earn it in the hours he has left.,"{golgotha_cross} medium, bound hands hanging still against rough wood, the last of his strength spent",paradise promised without delay,2,universal,kb,,,
1,29,connective,teaching,No time for good works. No time to change his life. Only a turned head.,"{golgotha_cross} close on a face turned toward the center cross, dust settling on damp skin",paradise promised without delay,2,universal,kb,,,
1,30,connective,awe,This is the part most people skip past too quickly: it cost him nothing extra to receive.,"{golgotha_cross} medium, both men framed together, one lit gold, the light widening between them",paradise promised without delay,2,universal,kb,,,
1,31,connective,teaching,Which means the promise was never about what he had done. It was about who he turned toward.,"{golgotha_cross} wide, the shaft of gold light broadening across all three crosses as the cloud continues breaking",paradise promised without delay,3,universal,kb,,,
1,32,hero,awe,"So the second thing Jesus says about death is this: paradise is not far away, it is not slow to arrive, and it does not wait for you to deserve it. <break time=""1000ms"" />","{golgotha_cross} extreme wide, the sky finally breaking open above the entire hill, a vast shaft of light falling across all three crosses at once, dust glowing gold across the whole scene",paradise promised without delay,3,universal,kb,,,
2,1,hero,teaching,"Jesus told a story to make the point impossible to misunderstand. <break time=""600ms"" />","{rich_mans_table} wide, a lavishly set table crowded with food and wine beneath a grand awning, warm lamplight and gold vessels filling the whole frame",a story begins at a rich man's table,3,universal,kb,,,
2,2,connective,teaching,"There was a rich man, he said, dressed in purple and fine linen. <break time=""500ms"" />","{rich_mans_table} medium, fine embroidered purple fabric draped over a reclining figure's shoulder, gold thread catching lamplight",purple and fine linen,1,universal,kb,,,
2,3,connective,teaching,"He feasted sumptuously every day -- not once in a while, every single day.","{rich_mans_table} close, hands reaching for food across a crowded table, gold cups and platters catching warm light",a table set every day,2,universal,kb,,,
2,4,connective,grief,"At his gate lay a poor man named Lazarus, covered in sores.","{beggars_gate} medium low angle, a thin figure slumped against a carved stone gatepost, open sores visible on bare skin",a beggar named Lazarus,2,universal,kb,,,
2,5,connective,grief,Lazarus longed only for the scraps that fell from the rich man's table.,"{beggars_gate} close, a thin hand reaching toward crumbs scattered in the dirt near a threshold",a beggar named Lazarus,1,universal,kb,,,
2,6,connective,grief,"Even the dogs came and licked his sores, he said -- an image meant to shock, not soothe. <break time=""600ms"" />","{beggars_gate} close, a dog's head bent low near a beggar's exposed skin, dust and shadow at the base of a stone wall",dogs lick his sores,2,universal,kb,,,
2,7,connective,grief,No one at that table ever once looked down to see him.,"{beggars_gate} wide, a servant's sandaled feet stepping past a beggar's outstretched hand without pausing",a beggar named Lazarus,2,universal,kb,,,
2,8,hero,grief,"Then, Jesus said, the beggar died. <break time=""700ms"" />","{beggars_gate} medium, a shrouded form carried away down a narrow street at dusk, torchlight receding into the dark",the beggar dies first,2,universal,kb,,,
2,9,hero,wonder,"And he was carried by angels to Abraham's side. <break time=""800ms"" />","{angels_light} wide, a small figure lifted gently between tall shapes of radiant light, warm gold glow rising off a dark road",carried by angels,3,universal,kling,,"slow steady upward drift following the ascent, natural cinematic movement, minimal drift",
2,10,connective,dread,"The rich man also died, and was buried -- with, no doubt, a funeral to match his table.","{rich_mans_table} wide, the empty banquet hall left standing at dusk, unlit lamps and abandoned platters on the long table",a funeral to match his table,2,universal,kb,,,
2,11,hero,dread,"In Hades, in torment, he lifted his eyes. <break time=""900ms"" />","{chasm_fire} close, a man's face lifted from heat-shimmer and shadow, torment plain in his expression",eyes opened in torment,3,universal,kb,,,embers
2,12,connective,wonder,"And far off, he saw Abraham, with Lazarus at his side.","{chasm_fire} wide, one side lit soft and golden with two distant figures at rest, the other burning red-orange with heat haze",eyes opened in torment,2,universal,kb,,,
2,13,connective,teaching,"The reversal is total, and Jesus does not soften it at all. <break time=""400ms"" />","{chasm_fire} wide, the golden side and the burning side framed together across the full width of the gulf, a vast dark gap of rock and haze separating them",two tables now reversed,3,universal,kb,,,
2,14,connective,teaching,The man who owned everything now owns nothing. The man who owned nothing now rests.,"{chasm_fire} close, an open hand reaching from the burning side toward a small point of golden light far across the gulf",two tables now reversed,2,universal,kb,,,
2,15,connective,teaching,"Nothing about wealth crossed over with him -- not the purple, not the linen, not the table.","{chasm_fire} medium, bare scorched hands against dark rock, plain and unadorned",two tables now reversed,2,universal,kb,,,
2,16,hero,awe,"So the third thing Jesus says about death is this: the moment after is not a pause -- it is fully, immediately conscious. <break time=""1000ms"" />","{chasm_fire} wide reverse, the gulf shown in full at dusk, one side settling into warm rest, the other locked in its own heat and shadow",two tables now reversed,3,universal,kb,,,
2,17,connective,dread,"The rich man calls out: Father Abraham, have mercy on me.","{chasm_fire} close, a face straining forward through heat distortion, mouth open mid-plea across the dark gap",a plea across the gulf,2,universal,kb,,,
2,18,connective,dread,"Send Lazarus, he begs, to dip his finger in water and cool my tongue -- I am in anguish in this flame. <break time=""500ms"" />","{chasm_fire} extreme close, a hand stretched to the very edge of a cliff over the gulf, fingers spread against empty air",a plea across the gulf,2,universal,kb,,,
2,19,connective,teaching,"Abraham answers, and there is no cruelty in his voice, only plain fact.","{chasm_fire} medium, a calm distant figure seated on the golden side, unhurried and steady",abraham answers plainly,1,universal,kb,,,
2,20,connective,teaching,"Child, he says, remember: you received your good things in life, and Lazarus received bad things.","{chasm_fire} wide, the golden rest and the burning torment framed together at equal distance, evening light settling over both",abraham answers plainly,2,universal,kb,,,
2,21,connective,dread,"Now he is comforted, and you are in anguish.","{chasm_fire} close, heat-shimmer distorting the air around a straining face, sweat catching dull red light",abraham answers plainly,2,universal,kb,,,
2,22,hero,dread,"And besides all this, he says, a great chasm has been fixed between us and you. <break time=""600ms"" />","{chasm_fire} extreme wide, a deep rock ravine spanning the frame, fire-glow on one rim and cold shadow on the other",a chasm fixed in place,3,universal,kling,,"slow steady reveal panning across the full width of the gulf, natural cinematic movement",
2,23,connective,dread,"Those who want to cross from here to you cannot. <break time=""600ms"" />","{chasm_fire} wide, jagged rock edges catching hard light, empty air spanning the ravine between them",a chasm fixed in place,2,universal,kb,,,
2,24,connective,dread,And none can cross from there to us either.,"{chasm_fire} close, a hand withdrawing from the cliff edge, dust falling loose into the gap below",a chasm fixed in place,2,universal,kb,,,
2,25,connective,teaching,"This is the line most sermons skip past too fast: the chasm was fixed, past tense, already done.","{chasm_fire} medium, the rock face at the gulf's edge, settled and unmoving, dust undisturbed along its rim",a chasm fixed in place,2,universal,kb,,,
2,26,connective,awe,Not fixed by cruelty. Fixed by choices made while there was still time to make them.,"{chasm_fire} wide, the entire gulf spanning the frame at dusk, the golden side lamplit and calm, the far side burning steady across its whole length",a chasm fixed in place,3,universal,kb,,,
2,27,connective,dread,"The rich man tries once more: then, father, send him to my father's house.","{chasm_fire} close, a face turned back toward the golden side, mouth open mid-plea, heat distortion blurring the air",five brothers still living,2,universal,kb,,,
2,28,connective,teaching,"I have five brothers, he says. Let him warn them, so they don't end up in this place too.","{chasm_fire} medium, five distant lamplit windows glimpsed across the gulf as if from far away",five brothers still living,2,universal,kb,,,
2,29,connective,teaching,Abraham answers: they have Moses and the prophets. Let them listen to those.,"{chasm_fire} wide, an old scroll glimpsed at the edge of the golden side, sunlight catching its unrolled surface",five brothers still living,2,universal,kb,,,
2,30,connective,dread,"No, father Abraham, the rich man insists -- but if someone comes to them from the dead, they will repent.","{chasm_fire} close, a desperate face lit by dull red light, straining forward against the heat",five brothers still living,2,universal,kb,,,
2,31,hero,awe,"Abraham's answer is the hardest line in the whole story: if they will not hear Moses and the prophets, they will not be convinced even if someone rises from the dead. <break time=""700ms"" />","{chasm_fire} wide reverse, the gulf at first light, mist pooling low in the ravine, a single bird crossing high overhead",proof was never the problem,3,universal,kb,,,mist
2,32,hero,awe,"So the fourth thing Jesus says about death is this: the choice was never waiting on better evidence. It was waiting on you. <break time=""1000ms"" />","{chasm_fire} extreme wide, the full gulf glowing at dawn, both rims catching the first flat light of a new day",proof was never the problem,3,universal,kling,,"slow subtle pull back revealing the entire gulf, natural realistic movement, minimal drift",
3,1,hero,teaching,"Jesus told his closest friends something stranger than a promise -- a description of an actual place. <break time=""800ms"" />","{fathers_house} wide, a vast house of many rooms lit warm from within, doorways receding down a long hall toward daylight at the far end",a description of an actual place,3,universal,kb,,,
3,2,connective,teaching,"Let not your hearts be troubled, he said. Believe in God; believe also in me.","{fathers_house} medium, a teacher speaking calmly to a small gathered group, warm lamplight across their faces",hearts not troubled,2,universal,kb,,,
3,3,connective,teaching,"In my Father's house, he said, there are many rooms.","{fathers_house} close, an open doorway framed in worn stone, warm lamplight spilling out into blue evening air",a house of many rooms,1,universal,kb,,,
3,4,connective,teaching,"If it were not so, he said, I would have told you.","{fathers_house} medium, the same doorway seen from further back, the long hall of rooms receding beyond it",a house of many rooms,2,universal,kb,,,
3,5,hero,wonder,"I am going to prepare a place for you, he said -- present tense, already in motion. <break time=""900ms"" />","{fathers_house} close, hands smoothing fresh linen across a low bed inside a sunlit room, dust motes catching the light",preparing a place now,2,universal,kling,,"slow subtle push toward the hands and the sunlit linen, natural realistic movement, minimal drift",
3,6,connective,teaching,"And when it is ready, he said, I will come back and take you to be with me.","{fathers_house} wide, a figure standing in an open doorway looking out toward a road at dawn, golden light spilling past him into the room",preparing a place now,2,universal,kb,,,
3,7,connective,wonder,"So that you may be where I am, he said -- the destination was never the rooms. It was him.","{fathers_house} wide reverse, the long hall of doorways glowing gold as evening light moves across every threshold at once",preparing a place now,2,universal,kb,,,
3,8,connective,teaching,"Thomas speaks up, confused: Lord, we don't even know where you're going.","{fathers_house} medium, a listener's puzzled face turned toward the teacher, lamplight catching his uncertainty",Thomas asks the way,2,universal,kb,,,
3,9,connective,teaching,"How can we know the way, he asks, if we don't know the destination?","{fathers_house} close, the same listener's hands spread in an open question, warm light across his palms",Thomas asks the way,1,universal,kb,,,
3,10,hero,awe,"Jesus answers with the boldest claim in the whole conversation. <break time=""600ms"" />","{fathers_house} close three-quarter profile, the teacher's face calm and direct, steady certainty in his eyes",I am the way,2,universal,kb,,,
3,11,hero,awe,"I am the way, he says, and the truth, and the life. <break time=""700ms"" />","{fathers_house} extreme close on lips forming the words, warm lamplight steady across the mouth and jaw",I am the way,3,universal,kling,,"slow subtle push in on the face, minimal drift, natural realistic micro-motion, breath only",
3,12,connective,teaching,"No one comes to the Father, he says, except through me.","{fathers_house} wide, the open doorway framed against a lightening sky, the road beyond just visible past the threshold",I am the way,2,universal,kb,,,
3,13,hero,awe,"So the fifth thing Jesus says about death is this: you are not going somewhere unprepared, and you are not going there alone. <break time=""1000ms"" />","{fathers_house} wide reverse, the full hall of doorways glowing at once, dawn light spilling through the farthest open door",I am the way,3,universal,kb,,,
3,14,connective,dread,"Four days before any of that, a message reaches Jesus in a hurry.","{bethany_tomb} medium, a breathless messenger arriving at a dusty crossroads, dust still rising from the road behind him",a message reaches him,2,universal,kb,,,dust
3,15,connective,dread,"Lord, the message says, the one you love is sick.","{bethany_tomb} close, a folded note passed hand to hand, dust settled along its worn crease",a message reaches him,1,universal,kb,,,
3,16,hero,wonder,"Jesus's answer surprises everyone who hears it: this sickness will not end in death. <break time=""800ms"" />","{bethany_tomb} medium, the teacher's calm face turned toward the road ahead, unhurried in the fading light",this will not end in death,2,universal,kb,,,
3,17,connective,teaching,"Then, deliberately, he stays two more days exactly where he is.","{bethany_tomb} wide, a small camp settled for the night, fire burning low against a darkening sky",he waits two more days,2,universal,kb,,,
3,18,connective,dread,His friends are confused and a little afraid -- they know what waits in Judea.,"{bethany_tomb} medium, worried faces gathered close around a low fire, shadows deepening around them",danger waits in Judea,2,universal,kb,,,
3,19,connective,dread,"They tried to stone you there, they remind him. And you want to go back?","{bethany_tomb} close, a hand gesturing toward a distant road, urgency in the tightened grip",danger waits in Judea,2,universal,kb,,,
3,20,hero,awe,"Thomas, of all people, says the bravest thing in the whole story: let us also go, that we may die with him. <break time=""900ms"" />","{bethany_tomb} medium, a single figure standing firm against the firelight, resolve steady on his face",danger waits in Judea,3,universal,kb,,,
3,21,connective,grief,"By the time they arrive, Lazarus has already been in the ground four days.","{bethany_tomb} wide, a stone tomb sealed into a dry hillside beneath a vast sky, a heavy rolling stone fitted across its entrance, dust settling in late light",a stone sealed four days,3,universal,kb,,,dust
3,22,hero,grief,"Martha meets him on the road before he even reaches the house. <break time=""600ms"" />","{bethany_tomb} medium, a woman standing on a dusty village road facing a traveler, her hands pressed together",Martha meets him on the road,2,universal,kb,,,
3,23,connective,grief,"Lord, she says, if you had been here, my brother would not have died.","{bethany_tomb} close, a face taut with grief on the village road, evening light low across the path",Martha meets him on the road,2,universal,kb,,,
3,24,connective,teaching,Jesus tells her plainly: your brother will rise again.,"{bethany_tomb} close, the traveler's face calm and direct, dust hanging gold in low light",Martha meets him on the road,1,universal,kb,,,
3,25,hero,awe,"I am the resurrection and the life, he says. <break time=""1000ms"" /> The one who believes in me will live, even though they die.","{bethany_tomb} medium, two figures facing each other on a village road at dusk, the light between them softening",Martha meets him on the road,3,universal,kb,,,
3,26,connective,teaching,Do you believe this? he asks her directly.,"{bethany_tomb} close, a steady question held in a calm gaze, dust settling around both figures",Martha meets him on the road,1,universal,kb,,,
3,27,connective,wonder,"Yes, Lord, she says. I believe you are the one we've been waiting for.","{bethany_tomb} close, a face lifted with quiet conviction, evening light catching the edge of her expression",Martha meets him on the road,2,universal,kb,,,
3,28,connective,grief,"Then Mary comes too, and falls at his feet in the same grief her sister carried.","{bethany_tomb} wide, a figure kneeling in the dust before a traveler, mourners gathering behind her",Mary falls at his feet,2,universal,kb,,,dust
3,29,connective,grief,"The mourners with her are weeping too, loud in the narrow street.","{bethany_tomb} medium, a small crowd of mourners pressing close, faces marked with open grief",Mary falls at his feet,2,universal,kb,,,
3,30,hero,grief,"Seeing her weep, Jesus is deeply moved in spirit, and troubled. <break time=""700ms"" />","{bethany_tomb} close, a man's face visibly moved, jaw tight, eyes glistening in the low light",Jesus deeply moved,2,universal,kb,,,
3,31,connective,grief,"Where have you laid him? he asks. Come and see, they answer.","{bethany_tomb} wide, a small procession moving down a narrow path toward a hillside tomb, evening shadows stretching long",Jesus deeply moved,2,universal,kb,,,
3,32,hero,grief,"Jesus wept. <break time=""1500ms"" />","{bethany_tomb} close, tears catching the last light of the day on a grieving face",Jesus deeply moved,2,universal,kling,,"slow subtle push toward the face, minimal camera drift, breath only, natural realistic micro-motion",
3,33,connective,teaching,"See how he loved him, the onlookers murmur -- while others wonder why he didn't act sooner.","{bethany_tomb} medium, mourners exchanging glances at a respectful distance from the grieving traveler",watching mourners murmur,2,universal,kb,,,
3,34,connective,dread,"Deeply moved again, Jesus comes to the tomb -- a stone lying against it.","{bethany_tomb} wide low angle, a heavy stone sealed flush against the full height of a hillside tomb entrance, long shadow falling across the entire scene",a stone lying against it,3,universal,kb,,,
3,35,connective,dread,"Take away the stone, he says. Lord, Martha answers, by now there will be an odor -- he has been dead four days.","{bethany_tomb} close, a woman's hand raised in caution beside the sealed stone, dust caught in the low light",Martha hesitates at the stone,2,universal,kb,,,
3,36,hero,awe,"Did I not tell you, he answers, that if you believed you would see the glory of God? <break time=""800ms"" />","{bethany_tomb} close three-quarter profile, calm certainty fixed on the sealed entrance ahead",Martha hesitates at the stone,3,universal,kb,,,
3,37,hero,awe,"They take away the stone, and Jesus lifts his eyes and prays aloud, so the crowd can hear every word. <break time=""900ms"" />","{bethany_tomb} wide low angle, men straining to roll a massive stone from the tomb entrance, a figure standing with eyes raised beside them",the stone begins to move,3,universal,kb,,,dust
3,38,hero,awe,"Father, I thank you that you have heard me, he prays -- so that they may believe you sent me. <break time=""600ms"" />","{bethany_tomb} medium, a face lifted in open prayer, evening light catching the raised eyes",the stone begins to move,3,universal,kb,,,
3,39,hero,wonder,"Then he cries out with a loud voice: <break time=""1200ms"" /> Lazarus, come out.","{bethany_tomb} wide low angle, a dark tomb opening flooded suddenly with bright light, a figure calling into the entrance",Lazarus come out,4,universal,kling,,"steady dramatic push toward the opening tomb entrance as light floods out, powerful momentum, natural realistic motion",dust
3,40,hero,wonder,"A man who has been dead four days walks out, still bound hand and foot in the cloth they buried him in.","{bethany_tomb} wide, a bound figure stepping forward out of a bright tomb entrance into daylight, linen wrappings trailing, a crowd frozen in astonishment",the dead man walks out,4,universal,kb,,,
3,41,hero,awe,"Unbind him, he says simply, and let him go.","{bethany_tomb} medium, hands working loose the linen wrappings from a freed man's arms, sunlight breaking across both figures",unbind him and let him go,3,universal,kb,,,
3,42,hero,awe,"So the sixth thing Jesus says about death is the loudest: he does not just describe where you go -- he claims the power to call you back. <break time=""1200ms"" />","{bethany_tomb} wide reverse, the empty tomb entrance glowing with late sunlight, the freed man's shadow stretching long across the ground toward the village",unbind him and let him go,3,universal,kb,,,
4,1,connective,teaching,"Not everyone welcomes what just happened at that tomb. Word travels fast, and so does opposition. <break time=""400ms"" />","{wedding_hall_empty} wide, a vast empty banquet hall with unlit lamps and folded linens stacked along a long table, dust hanging in still afternoon light throughout",opposition gathers quickly,3,universal,kb,,,dust
4,2,connective,teaching,Some religious leaders come to test him with a puzzle instead -- one they think has no good answer.,"{wedding_hall_empty} medium, a small group of officials standing at the entrance to the empty hall, formal robes catching low light",opposition gathers quickly,2,universal,kb,,,
4,3,connective,dread,"There is no resurrection, they say plainly -- so let's see him untangle this.","{wedding_hall_empty} close, a stern official's face mid-argument, dust hanging still in the afternoon light around him",a puzzle with no good answer,2,universal,kb,,,
4,4,connective,teaching,"Moses said, they begin, if a man dies childless, his brother must marry the widow.","{wedding_hall_empty} medium, a scroll unrolled across the long empty table, an official's finger tracing the text",a puzzle with no good answer,2,universal,kb,,,
4,5,connective,teaching,"So there were seven brothers, they say. The first married, and died childless.","{wedding_hall_empty} close, a single unlit lamp beside seven empty cups arranged in a row on the table",seven brothers one widow,1,universal,kb,,,
4,6,connective,teaching,The second brother married her. He died too.,"{wedding_hall_empty} close, a second empty cup pushed forward among the row, dust settled on its rim",seven brothers one widow,1,universal,kb,,,
4,7,connective,teaching,Then the third. Then the fourth. All the way through all seven.,"{wedding_hall_empty} wide, the full row of seven empty cups laid out across the long table, afternoon light crossing all of them",seven brothers one widow,2,universal,kb,,,
4,8,connective,dread,"Last of all, they say, the woman died too.","{wedding_hall_empty} medium, the hall's doors standing open onto daylight, the row of cups left untouched inside",seven brothers one widow,2,universal,kb,,,
4,9,hero,dread,"So whose wife will she be, at the resurrection? They ask it like a trap, because they think it is one. <break time=""700ms"" />","{wedding_hall_empty} close, the lead official's face, satisfied and expectant, waiting for an answer",whose wife at the resurrection,2,universal,kb,,,
4,10,hero,teaching,"Jesus tells them plainly: you are wrong, and it is because you understand neither the scriptures nor the power of God. <break time=""800ms"" />","{wedding_hall_empty} medium, a teacher standing at the head of the long empty table, calm and direct, low afternoon light through a high window",whose wife at the resurrection,3,universal,kling,,"slow subtle push toward the teacher's face as he answers, natural realistic movement, minimal drift",
4,11,connective,teaching,"At the resurrection, he says, people neither marry nor are given in marriage.","{wedding_hall_empty} wide, the row of empty cups left standing on the table, the officials' faces turned toward the teacher instead",neither marry nor given in marriage,2,universal,kb,,,
