block_id,clip_index,sentence_id,weight,register,narration,phenomenon,subject,scale,setting,words,variants,move,air,motion,topic_class
b05,8,s059,connective,warm,"So before you interrogate your soul at three a.m., check the body, the way heaven did for the prophet. When did you last sleep, eat, see daylight. Do not solve your life tonight. Drink water. Eat tomorrow. Sleep. That is the thirteenth.","{broom_tree} the prophet resting peacefully in the shade of the broom tree, the bright wilderness calm around him, cinematic biblical epic",the prophet at rest,2,broom_tree,42,2,settle,,,universal
b05,9,s060,hero,plain,"An invitation, spoken to the worried. Come to me, all who are weary and heavy laden, and I will give you rest. Aimed precisely at the exhausted, the over-carrying, the mind that cannot put anything down.","{yoke_oxen} a broad sunlit field in warm gold light, a worn path along its edge, ancient near-eastern country, cinematic biblical epic",the field and the path,3,yoke_oxen,36,4,pull,,,universal
b05,10,s061,connective,plain,"Then a strange image. Take my yoke upon you. A yoke is the wooden harness two oxen share to pull a load together. He offers not no burden, but a shared one. The weight you drag alone was made for two.","{yoke_oxen} two oxen under a smooth wooden yoke ploughing a bright field together in warm gold light, an easy shared burden, cinematic biblical epic",two under one yoke,3,yoke_oxen,41,2,pull,,,universal
b05,11,s062,connective,plain,"My yoke is easy, he says, my burden light. Not because the load shrinks, but because you are no longer the only one pulling. The three a.m. exhaustion comes from hauling the whole cart alone. This offers a second shoulder in the harness.","{yoke_oxen} close on the smooth worn wooden yoke joining the two oxen, warm light, an easy shared weight, cinematic biblical epic",the shared wooden yoke,1,yoke_oxen,43,2,push,,,universal
b05,12,s063,connective,warm,"So tonight, accept the shared yoke. Say it. I am not meant to pull this alone, and I will stop trying. Then hand over the second side of the harness. That is the fourteenth.","{yoke_oxen} the worn path leading away toward bright far hills under gold light, an easy open way, cinematic biblical epic",the easy path onward,3,yoke_oxen,34,2,pull,,,universal
b06,1,s064,hero,plain,"The first time the words fear not appear, they come with a reason. Fear not, Abram. I am your shield. Not do not feel afraid by willpower. But do not fear, because something now stands between you and the threat.","{abram_stars} Abram standing under a vast field of blazing stars on the dark plain of Canaan, small beneath the immense sky, cinematic biblical epic",Abram under the stars,4,abram_stars,40,4,crane,,,universal
b06,2,s065,connective,plain,A shield does not remove the danger. It stands in front of it. The promise is not that the arrows stop being fired. It is that you are no longer the thing they land on. Something has placed itself between you and the worst.,"{shield_promise} an ancient near-eastern figure standing firm in bright light holding a great bronze shield before him, a covering against the dark, cinematic biblical epic",the shield raised,3,shield_promise,44,2,push,,,universal
b06,3,s066,connective,plain,"And it is said to a man lying awake worried about his future, his safety, his legacy. Into that exact worry comes the image. Not a solved problem. A shield. Something covering him while the future stayed uncertain.","{abram_stars} the vast field of stars wheeling bright above the small unafraid figure on the dark plain, cinematic biblical epic",the wheeling stars above,4,abram_stars,38,2,crane,,,universal
b06,4,s067,connective,warm,"So tonight, when you feel utterly exposed, picture the shield. Say it. I am not as unprotected as the fear insists. Something stands between me and the worst. Let the guard, not you, face the dark. That is the fifteenth.","{shield_promise} the great bronze shield held steady in bright light, a covering against the dark, cinematic biblical epic",the steady shield,2,shield_promise,40,2,push,,,universal
b06,5,s068,hero,plain,"And it closes the circle, because it is not a theory. It is a testimony. I sought the Lord, and he heard me, and delivered me from all my fears. Someone who was afraid, exactly as you are, looked back and reported what happened.","{david_dawn} David as a young shepherd on a bright hilltop in Judea facing the risen sun, arms easy, delivered and unburdened, gold dawn light, cinematic biblical epic",David faces the dawn,3,david_dawn,44,4,push,,,universal
b06,6,s069,connective,plain,"Read the verbs in order. I sought. He heard. He delivered. It begins with a simple turning toward, not a perfect faith, just a seeking. And it ends not with some fears eased, but all my fears. The whole load, over time, lifted.","{david_dawn} warm gold dawn light flooding across the open Judean hilltop, the shadows retreating before it, cinematic biblical epic",light floods the hilltop,3,david_dawn,43,2,push,,,universal
b06,7,s070,connective,plain,"This is the promise underneath all sixteen. Not that you will never be afraid again by morning. But that a person who kept turning toward the light, night after night, could one day look back and say every fear had been met.","{david_dawn} a lone shepherd standing on the bright hilltop facing the risen sun, arms easy at the sides, unburdened, cinematic biblical epic",the unburdened shepherd,3,david_dawn,42,2,settle,,,universal
b06,8,s071,connective,warm,"So the last thing before the summary is simply to begin. Tonight, seek. Turn toward the light once, even clumsily. It starts a testimony you will one day be able to tell. He delivered me from all my fears. That is the sixteenth.","{temple_dawn} the bright courts of an ancient Hebrew temple at dawn, warm gold light flooding the pale stone colonnades, worshippers at peace, cinematic biblical epic",the temple at dawn,4,temple_dawn,43,2,push,,,universal
b06,9,s072,hero,warm,"So here is what those sixteen answers leave in your hands. The same problems, still there, unsolved. But not carried the same way. Nothing magic happened. A mind learned, from the oldest teachers there are, where to set the weight down.","{temple_dawn} wide of the bright temple courts flooded with gold dawn light, pale stone colonnades, peaceful, cinematic biblical epic",the courts in dawn light,4,temple_dawn,41,4,pull,,,universal
b06,10,s073,hero,warm,"Three things to do tonight, gathered from all sixteen. First. Name it. One plain sentence, out loud, the moment the loop starts. You are not solving it. You are picking up the handle, like the hillside was told.","{sermon_mount} the bright Galilee hillside at dawn, the teacher's hand open toward the crowd, gold morning light, cinematic biblical epic",the hillside remembered,3,sermon_mount,38,4,pull,,,universal
b06,11,s074,connective,warm,"Second. Carry only today. Ask whether the fear is happening now, or borrowed from a tomorrow that may never come, and set the borrowed weight down, like the manna that could not be hoarded. Only one day at a time.","{manna_desert} the bright desert dawn scattered with manna, enough for the day, cinematic biblical epic",the daily manna recalled,3,manna_desert,40,2,push,,,universal
b06,12,s075,connective,warm,"Third. Hand it over, and be still. Say the words, open your hands, give two minutes of stillness, and ask for what you need. Then let the guard stand watch in your place, at the gate, through the night.","{peace_gate} the still sentry keeping the bright gate in warm light, the court at peace within, cinematic biblical epic",the guarded gate recalled,3,peace_gate,39,2,push,,,universal
b06,13,s076,connective,warm,"Name it. Carry today. Hand it over and be still. Three things, from the oldest answers we have, tested by people who lay exactly where you lie now. Not a promise the trouble vanishes. A different, older way to hold it.","{shepherd_valley} the shepherd leading the flock out of the valley into widening light, moving forward, cinematic biblical epic",out of the valley,3,shepherd_valley,41,2,pull,,,universal
b06,14,s077,hero,warm,"And if even one of these lifted a little of the weight tonight, that is the point. Not all at once. A little tonight, a little more tomorrow. The valley is walked through one lit step at a time. Sleep well.","{david_dawn} the bright Judean hilltop flooded with full gold dawn, the risen sun over the hills, peaceful and vast, cinematic biblical epic",full dawn over the hills,4,david_dawn,41,4,pull,,,universal
